libelle,date,montant,categorie
LA NONNA LYON,28/05/2021,16.9,Loisirs
ARICI VILLEURBANNE,27/05/2021,6.2,Alimentation
Bouygues Telecom ,27/05/2021,24.99,Communications
AMAZON EU SARL PAYLI,21/05/2021,22.01,Autres
FNAC.COM IVRY SUR SEINE,20/05/2021,15.0,Loisirs
BURGER KING LYON ,20/05/2021,12.9,Loisirs
FNAC.COM IVRY SUR SEINE,18/05/2021,23.9,Autres
GAB,17/05/2021,50.0,Autres
FNAC LYON CEDEX ,17/05/2021,11.24,Autres
Too Good To Go KOEBENHAVN,17/05/2021,3.9,Alimentation
CARREFOUR MARKET VILLEURBA ,14/05/2021,135.24,Alimentation
DES ARTS VILLEURBANNE,14/05/2021,6.0,Habitation
DES ARTS VILLEURBANNE,14/05/2021,3.6,Habitation
DES ARTS VILLEURBANNE,14/05/2021,3.6,Habitation
DES ARTS VILLEURBANNE,14/05/2021,2.0,Habitation
DES ARTS VILLEURBANNE,14/05/2021,2.0,Habitation
DES ARTS VILLEURBANNE,14/05/2021,1.0,Habitation
ARICI VILLEURBANNE,12/05/2021,3.0,Alimentation
CARREFOUR MARKET VILLEURBA ,11/05/2021,21.91,Alimentation
LA FRANCAISE DES BOULOGNE,07/05/2021,5.0,Loisirs
MUTUELLE UNEO UNEO/,06/05/2021,35.36,Santé/Bien être
UBER * EATS PENDING help.u ,03/05/2021,19.26,Alimentation
VIR INST vers ARLIM GESTION DONT CHARGES : ,01/05/2021,400.0,Habitation
S.L.T.C. LYON,29/04/2021,32.5,Transports
Bouygues Telecom ,27/04/2021,24.99,Communications
BlaBlaCar BlaBlaCar Paris,26/04/2021,15.5,Transports
WEB Maman FETE DES MERES - ,22/04/2021,17.9,Autres
WWW.T,21/04/2021,41.9,Loisirs
SIBILIA LYON,19/04/2021,21.85,Autres
MONOPRIX VILLEURBANNE,19/04/2021,13.07,Alimentation
SAVEURS ET DECOU LYON ,19/04/2021,10.04,Autres
BOUL DE LA HALLE LYON,19/04/2021,5.2,Autres
LA FRANCAISE DES BOULOGNE,19/04/2021,5.0,Loisirs
BlaBlaCar Paris,15/04/2021,15.5,Transports
BANE LAO VILLEURBANNE,15/04/2021,10.93,Alimentation
PHIE CONDORCET VILLEURBANN ,13/04/2021,6.0,Santé/Bien être
TENUE DE COMPTE ,12/04/2021,3.3,Autres
CARREFOUR MARKET VILLEURBA ,12/04/2021,167.19,Alimentation
ARICI VILLEURBANNE,12/04/2021,5.0,Alimentation
AMAZON PAYMENTS PAYLI,08/04/2021,26.18,Autres
MUTUELLE UNEO UNEO/,07/04/2021,35.36,Santé/Bien être
CARREFOUR MARKET VILLEURBA ,06/04/2021,51.16,Alimentation
SumUp *HAYTECH Infor VILLE ,02/04/2021,20.0,Loisirs
BURGER KING LYON ,02/04/2021,9.7,Loisirs
VIR INST vers ARLIM GESTION CHARGES COMPRISES (,01/04/2021,400.0,Habitation
S.L.T.C. LYON,01/04/2021,32.5,Transports
CEF VILLEURBANNE,29/03/2021,41.89,Habitation
IZLY SMONEY PARIS,29/03/2021,10.0,Alimentation
Bouygues Telecom ,29/03/2021,24.99,Communications
BANE LAO VILLEURBANNE,25/03/2021,40.98,Alimentation
MGP*Ulule SAS Paris,25/03/2021,18.0,Autres
CARREFOUR MARKET VILLEURBA ,23/03/2021,6.0,Alimentation
CARREFOUR MARKET VILLEURBA ,22/03/2021,35.8,Alimentation
DECITRE PART DIEU LYON ,22/03/2021,24.9,Loisirs
BURGERS DE PAPA VILLEURBAN ,22/03/2021,9.9,Loisirs
Too Good To Go KOEBENHAVN,17/03/2021,3.99,Alimentation
BP VILLEURB FACU,17/03/2021,2.42,Alimentation
DES ARTS VILLEURBANNE,17/03/2021,1.0,Habitation
BOULANGERIE CIZA VILLEURBA ,16/03/2021,8.1,Alimentation
VIR INST vers ARLIM GESTION - ,09/03/2021,284.0,Habitation
JustEat PARIS,09/03/2021,14.9,Alimentation
JustEat PARIS,09/03/2021,9.4,Alimentation
CARREFOUR MARKET VILLEURBA ,08/03/2021,133.45,Alimentation
LDLC COM VILLEURBAN,08/03/2021,69.85,Loisirs
MUTUELLE UNEO UNEO/,05/03/2021,35.36,Santé/Bien être
S.L.T.C. LYON,01/03/2021,32.5,Transports
Bouygues Telecom ,01/03/2021,24.99,Communications
CROUSLYON AC ,22/02/2021,7.0,Autres
BlaBlaCar BlaBlaCar Paris,19/02/2021,15.5,Transports
LA FRANCAISE DES BOULOGNE,19/02/2021,5.0,Loisirs
SUPERMARCHE ASIE LYON,16/02/2021,13.55,Alimentation
VOISIN LYONBELLECO /,16/02/2021,10.14,Autres
CARREFOUR MARKET VILLEURBA ,15/02/2021,21.66,Alimentation
BlaBlaCar BlaBlaCar Paris,15/02/2021,14.25,Transports
BURGER KING LYON ,15/02/2021,9.1,Loisirs
DES ARTS VILLEURBANNE,15/02/2021,2.0,Habitation
S.L.T.C. LYON,12/02/2021,37.5,Transports
S.L.T.C. LYON,11/02/2021,15.1,Transports
CARREFOUR MARKET VILLEURBA ,08/02/2021,52.6,Alimentation
IZLY SMONEY PARIS,08/02/2021,20.0,Alimentation
PHARMACIE BOY VU VILLEURBA ,08/02/2021,11.9,Santé/Bien être
LA FRANCAISE DES BOULOGNE,08/02/2021,5.0,Loisirs
Too Good To Go KOEBENHAVN,08/02/2021,3.99,Alimentation
Too Good To Go KOEBENHAVN,08/02/2021,3.99,Alimentation
VIR INST vers Tanguy COSMAO ,07/02/2021,1.0,Autres
CARREFOUR MARKET VILLEURBA ,05/02/2021,21.93,Alimentation
VIR INST vers Jules LE PRIOL HEN ,05/02/2021,16.51,Habitation
VIR INST vers ARLIM GESTION ,05/02/2021,360.0,Habitation
MUTUELLE UNEO UNEO/,05/02/2021,35.36,Santé/Bien être
BP VILLEURB FACU,04/02/2021,5.71,Alimentation
VIR INST vers ARLIM GESTION ,04/02/2021,300.0,Habitation
BP VILLEURB FACU,02/02/2021,4.33,Alimentation
CARREFOUR LYON ,01/02/2021,40.41,Alimentation
BOULANGERIE LE T VILLEURBA ,01/02/2021,24.0,Autres
BANE LAO VILLEURBANNE,01/02/2021,10.38,Alimentation
DES ARTS VILLEURBANNE,01/02/2021,8.5,Habitation
DES ARTS VILLEURBANNE,01/02/2021,3.6,Habitation
DES ARTS VILLEURBANNE,01/02/2021,2.0,Habitation
DES ARTS VILLEURBANNE,01/02/2021,2.0,Habitation
VIR INST vers ARLIM GESTION ,31/01/2021,150.0,Habitation
CARREFOUR MARKET VILLEURBA ,29/01/2021,7.77,Alimentation
BP VILLEURB FACU,29/01/2021,3.57,Alimentation
SODAP CONDRIEU,27/01/2021,5.0,Alimentation
Bouygues Telecom ,27/01/2021,24.99,Communications
LA VIEILLE CONSE LYON,26/01/2021,24.9,Autres
CARREFOUR MARKET VILLEURBA ,25/01/2021,85.26,Alimentation
S.L.T.C. LYON,25/01/2021,15.1,Transports
UBER *EATS HELP.UBER.COM,25/01/2021,14.2,Alimentation
Too Good To Go KOEBENHAVN,25/01/2021,4.5,Alimentation
SODAP CONDRIEU,20/01/2021,5.0,Alimentation
DES ARTS VILLEURBANNE,18/01/2021,3.6,Habitation
DES ARTS VILLEURBANNE,18/01/2021,3.6,Habitation
DES ARTS VILLEURBANNE,18/01/2021,2.0,Habitation
DES ARTS VILLEURBANNE,18/01/2021,2.0,Habitation
TENUE DE COMPTE ,12/01/2021,3.15,Autres
CARREFOUR MARKET VILLEURBA ,12/01/2021,18.08,Alimentation
CARREFOUR MARKET VILLEURBA ,11/01/2021,70.57,Alimentation
Too Good To Go KOEBENHAVN,11/01/2021,4.0,Alimentation
MUTUELLE UNEO UNEO/,06/01/2021,42.56,Santé/Bien être
DEJBOX MARCQ EN BAROEUL,05/01/2021,6.9,Alimentation
BP VILLEURB FACU,05/01/2021,2.15,Alimentation
BlaBlaCar ,04/01/2021,20.5,Transports
WEB Adrien Anniversaire C ,02/01/2021,2.17,Autres
